dte,name
1983-03-01,St. David's Day
1983-03-13,Mother's day
1983-04-01,Good Friday
1983-04-04,Easter Monday
1983-04-23,St. George's Day
1983-05-02,Early May Bank Holiday (May Day)
1983-05-30,Late May Bank Holiday
1983-06-19,Father's Day
1983-08-29,August Bank Holiday
1983-10-31,Halloween
1983-11-05,Guy Fawkes Day
1983-12-25,Christmas Day
1983-12-26,Boxing Day
1983-12-27,Substitute day for Christmas Day
1984-01-02,New Year's Day
1984-02-14,Valentine's Day
1984-03-01,St. David's Day
1984-04-01,Mother's day
1984-04-20,Good Friday
1984-04-23,St. George's Day
1984-04-23,Easter Monday
1984-05-07,Early May Bank Holiday (May Day)
1984-05-28,Late May Bank Holiday
1984-06-17,Father's Day
1984-08-27,August Bank Holiday
1984-10-31,Halloween
1984-11-05,Guy Fawkes Day
1984-12-25,Christmas Day
1984-12-26,Boxing Day
1985-01-01,New Year's Day
1985-02-14,Valentine's Day
1985-03-01,St. David's Day
1985-03-17,Mother's day
1985-04-05,Good Friday
1985-04-08,Easter Monday
1985-04-23,St. George's Day
1985-05-06,Early May Bank Holiday (May Day)
1985-05-27,Late May Bank Holiday
1985-06-16,Father's Day
1985-08-26,August Bank Holiday
1985-10-31,Halloween
1985-11-05,Guy Fawkes Day
1985-12-25,Christmas Day
1985-12-26,Boxing Day
1986-01-01,New Year's Day
1986-02-14,Valentine's Day
1986-03-01,St. David's Day
1986-03-09,Mother's day
1986-03-28,Good Friday
1986-03-31,Easter Monday
1986-04-23,St. George's Day
1986-05-05,Early May Bank Holiday (May Day)
1986-05-26,Late May Bank Holiday
1986-06-15,Father's Day
1986-08-25,August Bank Holiday
1986-10-31,Halloween
1986-11-05,Guy Fawkes Day
1986-12-25,Christmas Day
1986-12-26,Boxing Day
1987-01-01,New Year's Day
1987-02-14,Valentine's Day
1987-03-01,St. David's Day
1987-03-29,Mother's day
1987-04-17,Good Friday
1987-04-20,Easter Monday
1987-04-23,St. George's Day
1987-05-04,Early May Bank Holiday (May Day)
1987-05-25,Late May Bank Holiday
1987-06-21,Father's Day
1987-08-31,August Bank Holiday
1987-10-31,Halloween
1987-11-05,Guy Fawkes Day
1987-12-25,Christmas Day
1987-12-26,Boxing Day
1987-12-28,Substitute day for Boxing Day
1988-01-01,New Year's Day
1988-02-14,Valentine's Day
1988-03-01,St. David's Day
1988-03-13,Mother's day
1988-04-01,Good Friday
1988-04-04,Easter Monday
1988-04-23,St. George's Day
1988-05-02,Early May Bank Holiday (May Day)
1988-05-30,Late May Bank Holiday
1988-06-19,Father's Day
1988-08-29,August Bank Holiday
1988-10-31,Halloween
1988-11-05,Guy Fawkes Day
1988-12-25,Christmas Day
1988-12-26,Boxing Day
1988-12-27,Substitute day for Christmas Day
1989-01-02,New Year's Day
1989-02-14,Valentine's Day
1989-03-01,St. David's Day
1989-03-05,Mother's day
1989-03-24,Good Friday
1989-03-27,Easter Monday
1989-04-23,St. George's Day
1989-05-01,Early May Bank Holiday (May Day)
1989-05-29,Late May Bank Holiday
1989-06-18,Father's Day
1989-08-28,August Bank Holiday
1989-10-31,Halloween
1989-11-05,Guy Fawkes Day
1989-12-25,Christmas Day
1989-12-26,Boxing Day
1990-01-01,New Year's Day
1990-02-14,Valentine's Day
1990-03-01,St. David's Day
1990-03-25,Mother's day
1990-04-13,Good Friday
1990-04-16,Easter Monday
1990-04-23,St. George's Day
1990-05-07,Early May Bank Holiday (May Day)
1990-05-28,Late May Bank Holiday
1990-06-17,Father's Day
1990-08-27,August Bank Holiday
1990-10-31,Halloween
1990-11-05,Guy Fawkes Day
1990-12-25,Christmas Day
1990-12-26,Boxing Day
1991-01-01,New Year's Day
1991-02-14,Valentine's Day
1991-03-01,St. David's Day
1991-03-10,Mother's day
